series	config	cores	rep	elapsed	maxres	prod
parallel	N1000-seq	1	1	4.803	185808104	62.5%
parallel	N1000-seq	1	2	4.888	185808104	63.2%
parallel	N1000-seq	1	3	4.941	185808104	63.1%
parallel	N1000-seq	1	4	4.952	185808104	62.9%
parallel	N1000-seq	1	5	5.066	185808104	62.5%
parallel	N1000-par16	1	1	5.689	254398152	54.0%
parallel	N1000-par16	1	2	5.667	254398152	54.2%
parallel	N1000-par16	1	3	5.792	254398152	54.5%
parallel	N1000-par16	1	4	5.792	255006160	55.1%
parallel	N1000-par16	1	5	5.729	254398152	54.5%
parallel	N1000-par16	4	1	2.885	190770096	60.4%
parallel	N1000-par16	4	2	2.850	208611808	59.4%
parallel	N1000-par16	4	3	2.868	194316688	59.3%
parallel	N1000-par16	4	4	2.914	209570240	59.4%
parallel	N1000-par16	4	5	2.878	191126784	59.5%
parallel	N1000-par16	8	1	3.288	226228424	56.4%
parallel	N1000-par16	8	2	3.229	226853864	55.3%
parallel	N1000-par16	8	3	3.332	244485080	56.3%
parallel	N1000-par16	8	4	3.303	226813184	56.3%
parallel	N1000-par16	8	5	3.216	233400992	56.1%
parallel	N1000-par16	10	1	3.448	243651784	57.8%
parallel	N1000-par16	10	2	3.246	243811616	53.7%
parallel	N1000-par16	10	3	3.241	243812720	56.1%
parallel	N1000-par16	10	4	3.374	240772424	55.6%
parallel	N1000-par16	10	5	3.311	240791768	54.7%
parallel	N1000-par16	12	1	3.505	243724424	61.8%
parallel	N1000-par16	12	2	3.404	244585200	60.4%
parallel	N1000-par16	12	3	3.589	243729240	61.7%
parallel	N1000-par16	12	4	3.492	243784448	61.4%
parallel	N1000-par16	12	5	3.576	243724928	61.6%
parallel	N1000-par16	14	1	3.611	241696384	60.9%
parallel	N1000-par16	14	2	3.605	243767864	60.6%
parallel	N1000-par16	14	3	3.517	241634544	61.5%
parallel	N1000-par16	14	4	3.554	243734840	61.6%
parallel	N1000-par16	14	5	3.427	243094016	60.9%
scaling	N200-K20-T50-seq-double	4	1	0.730	43703336	67.8%
scaling	N200-K20-T50-seq-double	4	2	0.726	43703224	67.4%
scaling	N200-K20-T50-seq-double	4	3	0.749	43703336	68.2%
scaling	N200-K20-T50-seq-double	4	4	0.739	43703208	67.7%
scaling	N200-K20-T50-seq-double	4	5	0.755	42747496	68.6%
scaling	N500-K20-T50-seq-double	4	1	2.096	106100760	62.9%
scaling	N500-K20-T50-seq-double	4	2	2.042	105161088	62.7%
scaling	N500-K20-T50-seq-double	4	3	2.102	106100888	61.8%
scaling	N500-K20-T50-seq-double	4	4	2.066	105161288	62.8%
scaling	N500-K20-T50-seq-double	4	5	2.072	105161008	63.1%
scaling	N1000-K20-T50-seq-double	4	1	4.844	260688240	56.5%
scaling	N1000-K20-T50-seq-double	4	2	4.665	260688688	56.4%
scaling	N1000-K20-T50-seq-double	4	3	4.638	260688384	55.4%
scaling	N1000-K20-T50-seq-double	4	4	4.544	185840752	60.2%
