variable,index,value
Y,BRD,35.75911375061557
Y,MLK,54.24087749597418
F,CAP.BRD,20.426005087583967
F,CAP.MLK,29.573994912416033
F,LAB.BRD,15.333112115207909
F,LAB.MLK,24.666887884792065
X,BRD.BRD,21.45546825036934
X,BRD.MLK,7.889582181232608
X,MLK.BRD,17.368712393156134
X,MLK.MLK,8.875779953886685
Z,BRD,74.58329439414105
Z,MLK,71.00623963109348
Xp,BRD,20.39219157791043
Xp,MLK,30.752985232769515
Xg,BRD,17.698430196656652
Xg,MLK,13.111165520977446
Xv,BRD,16.616222079760824
Xv,MLK,15.661583941670216
E,BRD,9.434320186085246
E,MLK,4.498323787399032
M,BRD,12.859343007428548
M,MLK,13.073300966055728
Q,BRD,84.05189428592986
Q,MLK,85.77022704246
D,BRD,70.20392330320884
D,MLK,70.43256050244406
pf,CAP,1.0008882989738872
pf,LAB,1.0
py,BRD,1.000507502833062
py,MLK,1.000484428935913
pz,BRD,0.989260075619713
pz,MLK,0.995286449484082
pq,BRD,0.981251569364137
pq,MLK,0.9759964684961768
pe,BRD,1.0628242213935586
pe,MLK,1.0628242213935586
pm,BRD,1.0628242213935586
pm,MLK,1.0628242213935586
pd,BRD,0.9801280144901703
pd,MLK,0.9912576978206225
epsilon,,1.0628242213935586
Sp,,17.008389490308932
Sg,,1.8280644637632602
Td,,23.011350486888556
Tz,BRD,5.053580510432554
Tz,MLK,3.9261971185359408
Tm,BRD,0.0
Tm,MLK,0.0
UU,,26.092634381200835
