variable,index,value
Y,BRD,34.740860799849
Y,MLK,55.25913818014415
F,CAP.BRD,19.854499224641703
F,CAP.MLK,30.145500775358297
F,LAB.BRD,14.886361965960855
F,LAB.MLK,25.113638034032828
X,BRD.BRD,20.844516479909416
X,BRD.MLK,8.037692826202784
X,MLK.BRD,16.874132388498154
X,MLK.MLK,9.042404429478132
Z,BRD,72.4595096682568
Z,MLK,72.33923543582506
Xp,BRD,18.901672175716527
Xp,MLK,28.866993620409275
Xg,BRD,20.446353660011457
Xg,MLK,15.339117484182452
Xv,BRD,15.550639433908504
Xv,MLK,14.843270384982404
E,BRD,7.813764156713623
E,MLK,4.114290049432675
M,BRD,13.161253527294315
M,MLK,10.766800678851968
Q,BRD,83.78087457574875
Q,MLK,84.96591830755054
D,BRD,69.60815893809128
D,MLK,72.24319546617643
pf,CAP,0.9996969652423664
pf,LAB,1.0
py,BRD,0.9998268260352499
py,MLK,0.9998346969285203
pz,BRD,1.0256810468219644
pz,MLK,1.0111945963356928
pq,BRD,1.0579293070603453
pq,MLK,1.0390742387353948
pe,BRD,1.0500560913777959
pe,MLK,1.0500560913777959
pm,BRD,1.0500560913777959
pm,MLK,1.0500560913777959
pd,BRD,1.0595181392948825
pd,MLK,1.0371158394756352
epsilon,,1.0500560913777959
Sp,,16.99713800506679
Sg,,2.276925974678438
Td,,22.996127889208008
Tz,BRD,7.635651958431825
Tz,MLK,6.095753664646394
Tm,BRD,1.0630811105001994
Tm,MLK,2.0555899340869352
UU,,24.36918609197285
