kind,index,value
CPI0,,1.02247961807516230e+00
DPI0,,1.00000000000000000e+00
EG0,,1.17433099999999968e+03
EH0,HHD,2.70419999999999982e+03
EXR0,,1.00000000000000000e+00
FSAV0,,-7.65000000000000000e+01
GADJ0,,1.00000000000000000e+00
GOVSHR0,,2.13930438571013681e-01
GSAV0,,1.01759199999999998e+03
IADJ0,,1.00000000000000000e+00
INVSHR0,,2.95182253848388088e-01
MPS0,HHD,2.02114476302428209e-01
PA0,ACT,1.00000000000000000e+00
PDD0,COM,1.00000000000000000e+00
PDS0,COM,1.00000000000000000e+00
PE0,COM,1.00000000000000000e+00
PINTA0,ACT,1.02247961807516230e+00
PM0,COM,1.00000000000000000e+00
PQ0,COM,1.02247961807516230e+00
PVA0,ACT,1.00000000000000000e+00
PWE0,COM,1.00340880374262365e+00
PWM0,COM,8.45254661640435723e-01
PX0,COM,1.00000000000000000e+00
PXAC0,ACT.COM,1.00000000000000000e+00
QA0,ACT,7.91033799999999974e+03
QD0,COM,3.70387699999999950e+03
QE0,COM,4.20646100000000024e+03
QF0,FAC.ACT,3.91250000000000000e+03
QFS0,FAC,3.91250000000000000e+03
QG0,COM,1.15259021223185755e+03
QH0,COM.HHD,2.64474709539023252e+03
QINT0,COM.ACT,3.82648214285714266e+03
QINTA0,ACT,3.82648214285714266e+03
QINV0,COM,1.55377180328617078e+03
QM0,COM,5.51029200000000037e+03
QQ0,COM,9.21416899999999987e+03
QVA0,ACT,3.91250000000000000e+03
QX0,COM,7.91033799999999974e+03
QXAC0,ACT.COM,7.91033799999999974e+03
RHOAC,COM,-7.50000000000000000e-01
SAM,ACT.COM,7.91033799999999974e+03
SAM,ACT.TOTAL,7.91033799999999974e+03
SAM,ATAX.ACT,8.53379999999999939e+01
SAM,ATAX.TOTAL,8.53379999999999939e+01
SAM,COM.ACT,3.91250000000000000e+03
SAM,COM.DSTK,3.73999999999999986e+01
SAM,COM.GOV,1.17850000000000000e+03
SAM,COM.HHD,2.70419999999999982e+03
SAM,COM.ROW,4.22080000000000018e+03
SAM,COM.S-I,1.58870000000000005e+03
SAM,COM.TOTAL,1.36421000000000004e+04
SAM,DSTK.S-I,3.73999999999999986e+01
SAM,DSTK.TOTAL,3.73999999999999986e+01
SAM,ETAX.COM,1.43390000000000004e+01
SAM,ETAX.TOTAL,1.43390000000000004e+01
SAM,FAC.ACT,3.91250000000000000e+03
SAM,FAC.TOTAL,3.91250000000000000e+03
SAM,GOV.ATAX,8.53379999999999939e+01
SAM,GOV.ETAX,1.43390000000000004e+01
SAM,GOV.FAC,4.35780000000000030e+01
SAM,GOV.ROW,5.03300000000000011e+02
SAM,GOV.STAX,2.07131000000000000e+02
SAM,GOV.TAR,8.52692000000000007e+02
SAM,GOV.TOTAL,2.19192300000000023e+03
SAM,GOV.YTAX,4.85545000000000016e+02
SAM,HHD.FAC,3.86892200000000003e+03
SAM,HHD.GOV,-4.16899999999999693e+00
SAM,HHD.ROW,1.00000000000000000e+01
SAM,HHD.TOTAL,3.87475300000000016e+03
SAM,ROW.COM,4.65760000000000036e+03
SAM,ROW.TOTAL,4.65760000000000036e+03
SAM,S-I.GOV,1.01759199999999998e+03
SAM,S-I.HHD,6.85008000000000038e+02
SAM,S-I.ROW,-7.65000000000000000e+01
SAM,S-I.TOTAL,1.62609999999999991e+03
SAM,STAX.COM,2.07131000000000000e+02
SAM,STAX.TOTAL,2.07131000000000000e+02
SAM,TAR.COM,8.52692000000000007e+02
SAM,TAR.TOTAL,8.52692000000000007e+02
SAM,TOTAL.ACT,7.91033799999999974e+03
SAM,TOTAL.ATAX,8.53379999999999939e+01
SAM,TOTAL.COM,1.36421000000000004e+04
SAM,TOTAL.DSTK,3.73999999999999986e+01
SAM,TOTAL.ETAX,1.43390000000000004e+01
SAM,TOTAL.FAC,3.91250000000000000e+03
SAM,TOTAL.GOV,2.19192299999999977e+03
SAM,TOTAL.HHD,3.87475299999999970e+03
SAM,TOTAL.ROW,4.65760000000000036e+03
SAM,TOTAL.S-I,1.62610000000000014e+03
SAM,TOTAL.STAX,2.07131000000000000e+02
SAM,TOTAL.TAR,8.52692000000000007e+02
SAM,TOTAL.YTAX,4.85545000000000016e+02
SAM,YTAX.HHD,4.85545000000000016e+02
SAM,YTAX.TOTAL,4.85545000000000016e+02
SET.A,ACT,0
SET.AC,ACT,2
SET.AC,ACTTAX,21
SET.AC,ATAX,7
SET.AC,COM,3
SET.AC,COMTAX,22
SET.AC,DSTK,12
SET.AC,DUM,23
SET.AC,ETAX,8
SET.AC,EXPTAX,19
SET.AC,FAC,0
SET.AC,FACTAX,17
SET.AC,GOV,9
SET.AC,HHD,1
SET.AC,IMPTAX,18
SET.AC,INSTAX,16
SET.AC,ROW,10
SET.AC,S-I,11
SET.AC,STAX,6
SET.AC,TAR,5
SET.AC,TOTAL,24
SET.AC,TRNCSTDOM,13
SET.AC,TRNCSTEXP,14
SET.AC,TRNCSTIMP,15
SET.AC,VATAX,20
SET.AC,YTAX,4
SET.ACNT,ACT,2
SET.ACNT,ACTTAX,21
SET.ACNT,ATAX,7
SET.ACNT,COM,3
SET.ACNT,COMTAX,22
SET.ACNT,DSTK,12
SET.ACNT,DUM,23
SET.ACNT,ETAX,8
SET.ACNT,EXPTAX,19
SET.ACNT,FAC,0
SET.ACNT,FACTAX,17
SET.ACNT,GOV,9
SET.ACNT,HHD,1
SET.ACNT,IMPTAX,18
SET.ACNT,INSTAX,16
SET.ACNT,ROW,10
SET.ACNT,S-I,11
SET.ACNT,STAX,6
SET.ACNT,TAR,5
SET.ACNT,TRNCSTDOM,13
SET.ACNT,TRNCSTEXP,14
SET.ACNT,TRNCSTIMP,15
SET.ACNT,VATAX,20
SET.ACNT,YTAX,4
SET.ALEO,ACT,0
SET.C,COM,0
SET.CD,COM,0
SET.CDM,COM,0
SET.CE,COM,0
SET.CINV,COM,0
SET.CM,COM,0
SET.CX,COM,0
SET.F,FAC,0
SET.H,HHD,0
SET.INS,GOV,1
SET.INS,HHD,0
SET.INS,ROW,2
SET.INSD,GOV,1
SET.INSD,HHD,0
SET.INSDNG,HHD,0
TABS0,,5.50879999999999927e+03
TAXPAR,ACTTAX.ACT,8.53379999999999939e+01
TAXPAR,COMTAX.COM,2.07131000000000000e+02
TAXPAR,EXPTAX.COM,1.43390000000000004e+01
TAXPAR,FACTAX.FAC,0.00000000000000000e+00
TAXPAR,IMPTAX.COM,8.52692000000000007e+02
TAXPAR,INSTAX.GOV,0.00000000000000000e+00
TAXPAR,INSTAX.HHD,4.85545000000000016e+02
TAXPAR,VATAX.ACT,0.00000000000000000e+00
TINS0,HHD,1.25309922980897132e-01
WF0,FAC,1.00000000000000000e+00
YF0,FAC,3.91250000000000000e+03
YG0,,2.19192299999999977e+03
YI0,HHD,3.87475299999999970e+03
YIF0,GOV.FAC,4.35780000000000030e+01
YIF0,HHD.FAC,3.86892200000000003e+03
alphaac,COM,1.00000000000000067e+00
alphaq,COM,1.97422824977705269e+00
alphat,COM,2.00269880752221274e+00
alphava,ACT,9.99999999999999667e-01
betah,ACT.COM.HHD,0.00000000000000000e+00
betam,COM.HHD,1.00000000000000000e+00
cwts,COM,1.00000000000000000e+00
deltaac,ACT.COM,1.00000000000000000e+00
deltaq,COM,5.65822012801173835e-01
deltat,COM,4.78805779533822307e-01
deltava,FAC.ACT,1.00000000000000000e+00
dwts,COM,1.00000000000000000e+00
frisch,HHD,-4.00000000000000000e+00
gammam,COM.HHD,1.98356032154267450e+03
ica,COM.ACT,1.00000000000000000e+00
inta,ACT,4.83731813085249041e-01
iva,ACT,4.94605919494211288e-01
mps01,HHD,1.00000000000000000e+00
mpsbar,HHD,2.02114476302428209e-01
qbarg,COM,1.15259021223185755e+03
qbarinv,COM,1.55377180328617078e+03
qdst,COM,3.65777462345960700e+01
rhoq,COM,-3.33333333333333370e-01
rhot,COM,1.66666666666666652e+00
rhova,ACT,2.50000000000000000e-01
shif,GOV.FAC,1.11381469648562312e-02
shif,HHD.FAC,9.88861853035143734e-01
ta,ACT,1.07881610115775073e-02
te,COM,3.39722327520849141e-03
tf,FAC,0.00000000000000000e+00
theta,ACT.COM,1.00000000000000000e+00
tins01,HHD,1.00000000000000000e+00
tinsbar,HHD,1.25309922980897132e-01
tm,COM,1.83075403641360351e-01
tq,COM,2.19853947968963945e-02
trnsfr,GOV.GOV,0.00000000000000000e+00
trnsfr,GOV.ROW,5.03300000000000011e+02
trnsfr,HHD.GOV,-4.07734288909173603e+00
trnsfr,HHD.ROW,1.00000000000000000e+01
trnsfr,ROW.FAC,0.00000000000000000e+00
tva,ACT,0.00000000000000000e+00
wfdist0,FAC.ACT,1.00000000000000000e+00
