kind,index,value
CINV_NEG_NO,,0
CINV_YES,,1
ELASAC_DEFAULT,,4.00000000000000000e+00
FRISCH,HHD,-4.00000000000000000e+00
LESELAS1,COM.HHD,1.00000000000000000e+00
LESELAS2_DEFAULT,,0.00000000000000000e+00
PRODELAS,ACT,8.00000000000000044e-01
SAM,ACT.COM,7.91033799999999974e+03
SAM,ACT.TOTAL,7.91033799999999974e+03
SAM,ATAX.ACT,8.53379999999999939e+01
SAM,ATAX.TOTAL,8.53379999999999939e+01
SAM,COM.ACT,3.91250000000000000e+03
SAM,COM.DSTK,3.73999999999999986e+01
SAM,COM.GOV,1.17850000000000000e+03
SAM,COM.HHD,2.70419999999999982e+03
SAM,COM.ROW,4.22080000000000018e+03
SAM,COM.S-I,1.58870000000000005e+03
SAM,COM.TOTAL,1.36421000000000004e+04
SAM,DSTK.S-I,3.73999999999999986e+01
SAM,DSTK.TOTAL,3.73999999999999986e+01
SAM,ETAX.COM,1.43390000000000004e+01
SAM,ETAX.TOTAL,1.43390000000000004e+01
SAM,FAC.ACT,3.91250000000000000e+03
SAM,FAC.TOTAL,3.91250000000000000e+03
SAM,GOV.ATAX,8.53379999999999939e+01
SAM,GOV.ETAX,1.43390000000000004e+01
SAM,GOV.FAC,4.35780000000000030e+01
SAM,GOV.HHD,8.69689999999999941e+01
SAM,GOV.ROW,5.03300000000000011e+02
SAM,GOV.STAX,2.07131000000000000e+02
SAM,GOV.TAR,8.52692000000000007e+02
SAM,GOV.TOTAL,2.27889199999999983e+03
SAM,GOV.YTAX,4.85545000000000016e+02
SAM,HHD.FAC,3.86892200000000003e+03
SAM,HHD.GOV,8.27999999999999972e+01
SAM,HHD.ROW,1.00000000000000000e+01
SAM,HHD.TOTAL,3.96172200000000021e+03
SAM,ROW.COM,4.65760000000000036e+03
SAM,ROW.TOTAL,4.65760000000000036e+03
SAM,S-I.GOV,1.01759199999999998e+03
SAM,S-I.HHD,6.85008000000000038e+02
SAM,S-I.ROW,-7.65000000000000000e+01
SAM,S-I.TOTAL,1.62609999999999991e+03
SAM,STAX.COM,2.07131000000000000e+02
SAM,STAX.TOTAL,2.07131000000000000e+02
SAM,TAR.COM,8.52692000000000007e+02
SAM,TAR.TOTAL,8.52692000000000007e+02
SAM,TOTAL.ACT,7.91033799999999974e+03
SAM,TOTAL.ATAX,8.53379999999999939e+01
SAM,TOTAL.COM,1.36421000000000004e+04
SAM,TOTAL.DSTK,3.73999999999999986e+01
SAM,TOTAL.ETAX,1.43390000000000004e+01
SAM,TOTAL.FAC,3.91250000000000000e+03
SAM,TOTAL.GOV,2.27889199999999983e+03
SAM,TOTAL.HHD,3.96172200000000021e+03
SAM,TOTAL.ROW,4.65760000000000036e+03
SAM,TOTAL.S-I,1.62609999999999991e+03
SAM,TOTAL.STAX,2.07131000000000000e+02
SAM,TOTAL.TAR,8.52692000000000007e+02
SAM,TOTAL.YTAX,4.85545000000000016e+02
SAM,YTAX.HHD,4.85545000000000016e+02
SAM,YTAX.TOTAL,4.85545000000000016e+02
SET.A,ACT,0
SET.AC,ACT,2
SET.AC,ACTTAX,21
SET.AC,ATAX,7
SET.AC,COM,3
SET.AC,COMTAX,22
SET.AC,DSTK,12
SET.AC,DUM,23
SET.AC,ETAX,8
SET.AC,EXPTAX,19
SET.AC,FAC,0
SET.AC,FACTAX,17
SET.AC,GOV,9
SET.AC,HHD,1
SET.AC,IMPTAX,18
SET.AC,INSTAX,16
SET.AC,ROW,10
SET.AC,S-I,11
SET.AC,STAX,6
SET.AC,TAR,5
SET.AC,TOTAL,24
SET.AC,TRNCSTDOM,13
SET.AC,TRNCSTEXP,14
SET.AC,TRNCSTIMP,15
SET.AC,VATAX,20
SET.AC,YTAX,4
SET.C,COM,0
SET.F,FAC,0
SET.H,HHD,0
SET.INS,GOV,1
SET.INS,HHD,0
SET.INS,ROW,2
SET.INSD,GOV,1
SET.INSD,HHD,0
SET.INSDNG,HHD,0
SET.TRDELAS,SIGMAQ,0
SET.TRDELAS,SIGMAT,1
SET.TX,ACTTAX,5
SET.TX,COMTAX,6
SET.TX,EXPTAX,3
SET.TX,FACTAX,1
SET.TX,IMPTAX,2
SET.TX,INSTAX,0
SET.TX,VATAX,4
TAXPAR_RULE,ACTTAX.A,SAMROW.ATAX
TAXPAR_RULE,COMTAX.C,SAMROW.STAX
TAXPAR_RULE,EXPTAX.C,SAMROW.ETAX
TAXPAR_RULE,FACTAX.F,SAMROW.YTAX
TAXPAR_RULE,IMPTAX.C,SAMROW.TAR
TAXPAR_RULE,INSTAX.INSD,SAMROW.YTAX
TAXPAR_RULE,VATAX.A,ZERO
TRADELAS,COM.SIGMAQ,1.50000000000000000e+00
TRADELAS,COM.SIGMAT,1.50000000000000000e+00
