variable,index,value
DPI,,1.0
EG,,1174.3309999999997
EH,HHD,2704.2
EXR,,1.0
GSAV,,1017.592
GOVSHR,,0.21393043857101368
IADJ,,1.0
INVSHR,,0.2951822538483881
MPS,HHD,0.2021144763024282
TINS,HHD,0.12530992298089713
PA,ACT,1.0
PDD,COM,1.0
PDS,COM,1.0
PE,COM,1.0
PINTA,ACT,1.0224796180751623
PM,COM,1.0
PQ,COM,1.0224796180751623
PVA,ACT,1.0
PX,COM,1.0
PXAC,ACT.COM,1.0
QA,ACT,7910.338
QD,COM,3703.8769999999995
QE,COM,4206.461
QF,FAC.ACT,3912.5
QG,COM,1152.5902122318575
QH,COM.HHD,2644.7470953902325
QINT,COM.ACT,3826.4821428571427
QINTA,ACT,3826.4821428571427
QINV,COM,1553.7718032861708
QM,COM,5510.292
QQ,COM,9214.169
QVA,ACT,3912.5
QX,COM,7910.338
QXAC,ACT.COM,7910.338
TABS,,5508.799999999999
WALRAS,,0.0
WF,FAC,1.0
YF,FAC,3912.5
YG,,2191.923
YIF,HHD.FAC,3868.922
YIF,GOV.FAC,43.578
YI,HHD,3874.7529999999997
