variable,index,value
DPI,,0.9855295948479292
EG,,7.385869644737152
EH,HLSUPP,7.022918494794834
EH,HLSLOW,0.1003217897015453
EH,HSHHLD,1.699836323527419
EH,HURBUPP,8.706600764885824
EH,HURBLOW,2.036348302599269
EXR,,0.9791710610123608
GSAV,,-0.6015439917830387
GOVSHR,,0.15883479354795704
IADJ,,0.9431621675879966
INVSHR,,0.18145221169850062
MPS,HLSUPP,0.15675758032602455
MPS,HLSLOW,0.032235532192399545
MPS,HSHHLD,0.03904381879044318
MPS,HURBUPP,0.18511201120490195
MPS,HURBLOW,0.08541763879568522
MPS,ENTR,0.0932507406487942
TINS,HLSUPP,0.0744278274106303
TINS,HLSLOW,0.0
TINS,HSHHLD,0.012413946306657587
TINS,HURBUPP,0.09999171550241907
TINS,HURBLOW,0.04323533142281315
TINS,ENTR,0.14609301985491313
PA,AAGEX,0.9821003989330878
PA,AAGFO,0.9813558788361458
PA,AAGOT,0.980082378099107
PA,AMINE,0.9856358540830903
PA,ANAFO,0.9811657978222527
PA,ANALM,0.9888379535473563
PA,ANAHI,0.9948855220810918
PA,ANASE,0.981830422685925
PDD,CAGEX,0.9874748798415548
PDD,CAGFO,0.9815386698971184
PDD,CAGOT,0.9800931712157714
PDD,CMINE,0.9897366915229009
PDD,CNAFO,0.981234497405706
PDD,CNALM,0.9899952277081459
PDD,CNAHI,0.994885522081068
PDD,CNASE,0.9820639758012097
PDS,CAGEX,0.9874748798415548
PDS,CAGFO,0.9815386698971184
PDS,CAGOT,0.9800931712157714
PDS,CMINE,0.9897366915229009
PDS,CNAFO,0.981234497405706
PDS,CNALM,0.9899952277081459
PDS,CNAHI,0.994885522081068
PDS,CNASE,0.9820639758012097
PE,CAGEX,0.9791710610123608
PE,CAGFO,0.9791710610123608
PE,CAGOT,0.9791710610123608
PE,CMINE,0.9791710610123608
PE,CNAFO,0.9791710610123608
PE,CNALM,0.9791710610123608
PE,CNASE,0.9791710610123608
PINTA,AAGEX,0.9946619161273312
PINTA,AAGFO,1.005252608363282
PINTA,AAGOT,0.9889810206478924
