variable,index,value
DPI,,1.0069002074588491
EG,,7.477866204999926
EH,HLSUPP,7.464902635262352
EH,HLSLOW,0.11232002824516639
EH,HSHHLD,1.812238008270349
EH,HURBUPP,9.194364453639677
EH,HURBLOW,2.1614490461131965
EXR,,1.052292398559637
GSAV,,-1.3026568264913567
GOVSHR,,0.156966843794879
IADJ,,0.9037680125563811
INVSHR,,0.16502591961934468
MPS,HLSUPP,0.15675758032602455
MPS,HLSLOW,0.032235532192399545
MPS,HSHHLD,0.03904381879044318
MPS,HURBUPP,0.18511201120490195
MPS,HURBLOW,0.08541763879568522
MPS,ENTR,0.0932507406487942
TINS,HLSUPP,0.0744278274106303
TINS,HLSLOW,0.0
TINS,HSHHLD,0.012413946306657587
TINS,HURBUPP,0.09999171550241907
TINS,HURBLOW,0.04323533142281315
TINS,ENTR,0.14609301985491313
PA,AAGEX,1.0401257908536716
PA,AAGFO,1.040650887774833
PA,AAGOT,1.0333334211611684
PA,AMINE,1.006644736073685
PA,ANAFO,1.0159832641810513
PA,ANALM,1.005016718570566
PA,ANAHI,0.9990937923574069
PA,ANASE,1.0115726916298244
PDD,CAGEX,1.0172061197207816
PDD,CAGFO,1.0396680329866643
PDD,CAGOT,1.0331061383068199
PDD,CMINE,0.9760865537279605
PDD,CNAFO,1.0146831477186709
PDD,CNALM,0.9989852112207755
PDD,CNAHI,0.9990937923574388
PDD,CNASE,1.0079549145157962
PDS,CAGEX,1.0172061197207816
PDS,CAGFO,1.0396680329866643
PDS,CAGOT,1.0331061383068199
PDS,CMINE,0.9760865537279605
PDS,CNAFO,1.0146831477186709
PDS,CNALM,0.9989852112207755
PDS,CNAHI,0.9990937923574388
PDS,CNASE,1.0079549145157962
PE,CAGEX,1.052292398559637
PE,CAGFO,1.052292398559637
PE,CAGOT,1.052292398559637
PE,CMINE,1.052292398559637
PE,CNAFO,1.052292398559637
PE,CNALM,1.052292398559637
PE,CNASE,1.052292398559637
PINTA,AAGEX,1.0006939302375935
PINTA,AAGFO,0.9931103948292748
PINTA,AAGOT,1.0100815460520551
PINTA,AMINE,0.9886762157142646
PINTA,ANAFO,1.0127232193623183
PINTA,ANALM,0.9927720545216564
PINTA,ANAHI,0.9848112852934897
PINTA,ANASE,0.9894565686416269
PM,CAGEX,0.9275892376851552
PM,CAGFO,0.9538466088855707
PM,CMINE,0.9442738977146011
PM,CNAFO,0.9467266507013613
PM,CNALM,0.9512271312027246
PM,CNASE,0.9967693336658557
PQ,CAGEX,1.015703370759561
PQ,CAGFO,1.0360562822228854
PQ,CAGOT,1.0331061383068199
PQ,CMINE,0.9733749546100996
PQ,CNAFO,1.0120633612990981
PQ,CNALM,0.9779917475522769
PQ,CNAHI,0.9990937923574388
PQ,CNASE,1.0076515704497042
PVA,AAGEX,1.0722039957206333
PVA,AAGFO,1.0688295513413797
PVA,AAGOT,1.065346562594685
PVA,AMINE,1.0219882630875379
PVA,ANAFO,1.0218023793028512
PVA,ANALM,1.0232431973528815
PVA,ANAHI,1.0228495088283693
PVA,ANASE,1.0237474617823197
PX,CAGEX,1.0401257908536752
PX,CAGFO,1.0406508877746865
