kind,index,value
CPI0,,1.00000000000000022e+00
DPI0,,1.00000000000000000e+00
EG0,,7.44880892698173014e+00
EH0,HLSLOW,1.02905538258374979e-01
EH0,HLSUPP,7.21422195385352172e+00
EH0,HSHHLD,1.74633517811258754e+00
EH0,HURBLOW,2.10258240074464320e+00
EH0,HURBUPP,9.00012474962215592e+00
EXR0,,1.00000000000000000e+00
FSAV0,,1.55569876961203635e+00
GADJ0,,1.00000000000000000e+00
GOVSHR0,,1.56053856832822219e-01
GSAV0,,-5.04000000000000004e-01
IADJ0,,1.00000000000000000e+00
INVSHR0,,1.84710539485952230e-01
MPS0,ENTR,9.32507406487941976e-02
MPS0,HLSLOW,3.22355321923995450e-02
MPS0,HLSUPP,1.56757580326024548e-01
MPS0,HSHHLD,3.90438187904431772e-02
MPS0,HURBLOW,8.54176387956852162e-02
MPS0,HURBUPP,1.85112011204901949e-01
PA0,AAGEX,1.00000000000000000e+00
PA0,AAGFO,1.00000000000000000e+00
PA0,AAGOT,1.00000000000000000e+00
PA0,AMINE,1.00000000000000000e+00
PA0,ANAFO,1.00000000000000000e+00
PA0,ANAHI,1.00000000000000000e+00
PA0,ANALM,1.00000000000000000e+00
PA0,ANASE,1.00000000000000000e+00
PDD0,CAGEX,1.00000000000000000e+00
PDD0,CAGFO,1.00000000000000000e+00
PDD0,CAGOT,1.00000000000000000e+00
PDD0,CMINE,1.00000000000000000e+00
PDD0,CNAFO,1.00000000000000000e+00
PDD0,CNAHI,1.00000000000000000e+00
PDD0,CNALM,1.00000000000000000e+00
PDD0,CNASE,1.00000000000000000e+00
PDS0,CAGEX,1.00000000000000000e+00
PDS0,CAGFO,1.00000000000000000e+00
PDS0,CAGOT,1.00000000000000000e+00
PDS0,CMINE,1.00000000000000000e+00
PDS0,CNAFO,1.00000000000000000e+00
PDS0,CNAHI,1.00000000000000000e+00
PDS0,CNALM,1.00000000000000000e+00
PDS0,CNASE,1.00000000000000000e+00
