kind,index,value
CINV_NEG_NO,,0
CINV_YES,,1
ELASAC_DEFAULT,,4.00000000000000000e+00
FRISCH,HLSLOW,-4.00000000000000000e+00
FRISCH,HLSUPP,-4.00000000000000000e+00
FRISCH,HSHHLD,-4.00000000000000000e+00
FRISCH,HURBLOW,-4.00000000000000000e+00
FRISCH,HURBUPP,-4.00000000000000000e+00
LESELAS1,CAGEX.HSHHLD,1.00000000000000000e+00
LESELAS1,CAGFO.HLSLOW,7.58000000000000007e-01
LESELAS1,CAGFO.HLSUPP,9.76999999999999980e-01
LESELAS1,CAGFO.HSHHLD,6.81000000000000050e-01
LESELAS1,CAGFO.HURBLOW,8.02000000000000046e-01
LESELAS1,CAGFO.HURBUPP,9.83999999999999986e-01
LESELAS1,CAGOT.HLSLOW,1.36699999999999999e+00
LESELAS1,CAGOT.HLSUPP,1.17399999999999993e+00
LESELAS1,CAGOT.HSHHLD,1.37100000000000000e+00
LESELAS1,CAGOT.HURBLOW,1.33899999999999997e+00
LESELAS1,CAGOT.HURBUPP,8.76000000000000001e-01
LESELAS1,CNAFO.HLSLOW,1.50000000000000000e+00
LESELAS1,CNAFO.HLSUPP,1.30000000000000004e+00
LESELAS1,CNAFO.HSHHLD,1.50000000000000000e+00
LESELAS1,CNAFO.HURBLOW,1.50000000000000000e+00
LESELAS1,CNAFO.HURBUPP,1.30000000000000004e+00
LESELAS1,CNAHI.HLSLOW,5.00000000000000000e-01
LESELAS1,CNAHI.HLSUPP,5.00000000000000000e-01
LESELAS1,CNAHI.HSHHLD,5.00000000000000000e-01
LESELAS1,CNAHI.HURBLOW,5.00000000000000000e-01
LESELAS1,CNAHI.HURBUPP,5.00000000000000000e-01
LESELAS1,CNALM.HLSLOW,1.27099999999999991e+00
LESELAS1,CNALM.HLSUPP,1.03699999999999992e+00
LESELAS1,CNALM.HSHHLD,1.26200000000000001e+00
LESELAS1,CNALM.HURBLOW,1.25400000000000000e+00
LESELAS1,CNALM.HURBUPP,1.04099999999999993e+00
LESELAS1,CNASE.HLSLOW,6.77000000000000046e-01
LESELAS1,CNASE.HLSUPP,9.23000000000000043e-01
LESELAS1,CNASE.HSHHLD,7.28999999999999981e-01
LESELAS1,CNASE.HURBLOW,8.76000000000000001e-01
LESELAS1,CNASE.HURBUPP,9.50999999999999956e-01
LESELAS2_DEFAULT,,0.00000000000000000e+00
PRODELAS,AAGEX,7.50000000000000000e-01
PRODELAS,AAGFO,7.50000000000000000e-01
PRODELAS,AAGOT,7.71000000000000019e-01
PRODELAS,AMINE,5.00000000000000000e-01
PRODELAS,ANAFO,1.50000000000000000e+00
PRODELAS,ANAHI,1.50000000000000000e+00
PRODELAS,ANALM,5.00000000000000000e-01
PRODELAS,ANASE,1.24900000000000011e+00
QFBASE,LABSK.AAGEX,1.64830000000000011e-02
QFBASE,LABSK.AAGFO,1.67500000000000006e-03
QFBASE,LABSK.AAGOT,2.37400000000000024e-03
QFBASE,LABSK.AMINE,1.02410000000000001e-02
QFBASE,LABSK.ANAFO,7.71800000000000003e-03
QFBASE,LABSK.ANAHI,2.28850000000000026e-02
QFBASE,LABSK.ANALM,5.56240000000000068e-02
QFBASE,LABSK.ANASE,1.90550999999999998e-01
QFBASE,LABUSKF.AMINE,3.16340000000000024e-02
QFBASE,LABUSKF.ANAFO,2.65220000000000004e-02
QFBASE,LABUSKF.ANAHI,6.75520000000000148e-02
QFBASE,LABUSKF.ANALM,1.44329000000000013e-01
QFBASE,LABUSKF.ANASE,3.99096000000000006e-01
QFBASE,LABUSKIF.AAGEX,1.37808999999999987e-01
QFBASE,LABUSKIF.AAGFO,2.62674999999999992e-01
QFBASE,LABUSKIF.AAGOT,3.90695000000000014e-01
QFBASE,LABUSKIF.ANAHI,6.21420000000000028e-02
QFBASE,LABUSKIF.ANALM,4.14293000000000022e-01
QFBASE,LABUSKIF.ANASE,1.25038600000000000e+00
QFBASE,LABUSKLS.AAGEX,1.85013000000000011e-01
QFBASE,LABUSKLS.AAGFO,4.49880000000000002e-02
QFBASE,LABUSKLS.AAGOT,5.36649999999999974e-02
QFBASE,LANDLS.AAGEX,1.63221000000000005e-01
QFBASE,LANDLS.AAGFO,3.22243000000000002e-01
QFBASE,LANDLS.AAGOT,1.50900000000000010e-02
