variable,index,value
DPI,,1.0
EG,,7.44880892698173
EH,HLSUPP,7.214221953853522
EH,HLSLOW,0.10290553825837498
EH,HSHHLD,1.7463351781125875
EH,HURBUPP,9.000124749622156
EH,HURBLOW,2.102582400744643
EXR,,1.0
GSAV,,-0.504
GOVSHR,,0.15605385683282222
IADJ,,1.0
INVSHR,,0.18471053948595223
MPS,HLSUPP,0.15675758032602455
MPS,HLSLOW,0.032235532192399545
MPS,HSHHLD,0.03904381879044318
MPS,HURBUPP,0.18511201120490195
MPS,HURBLOW,0.08541763879568522
MPS,ENTR,0.0932507406487942
TINS,HLSUPP,0.0744278274106303
TINS,HLSLOW,0.0
TINS,HSHHLD,0.012413946306657587
TINS,HURBUPP,0.09999171550241907
TINS,HURBLOW,0.04323533142281315
TINS,ENTR,0.14609301985491313
PA,AAGEX,1.0
PA,AAGFO,1.0
PA,AAGOT,1.0
PA,AMINE,1.0
PA,ANAFO,1.0
PA,ANALM,1.0
PA,ANAHI,1.0
PA,ANASE,1.0
PDD,CAGEX,1.0
PDD,CAGFO,1.0
PDD,CAGOT,1.0
PDD,CMINE,1.0
PDD,CNAFO,1.0
PDD,CNALM,1.0
PDD,CNAHI,1.0
PDD,CNASE,1.0
PDS,CAGEX,1.0
PDS,CAGFO,1.0
PDS,CAGOT,1.0
PDS,CMINE,1.0
PDS,CNAFO,1.0
PDS,CNALM,1.0
PDS,CNAHI,1.0
PDS,CNASE,1.0
PE,CAGEX,1.0
PE,CAGFO,1.0
PE,CAGOT,1.0
PE,CMINE,1.0
PE,CNAFO,1.0
PE,CNALM,1.0
PE,CNASE,1.0
PINTA,AAGEX,1.0000000000000002
PINTA,AAGFO,1.0000000000000004
PINTA,AAGOT,1.0000000000000002
PINTA,AMINE,1.0000000000000004
PINTA,ANAFO,1.0000000000000002
PINTA,ANALM,1.0000000000000002
PINTA,ANAHI,1.0000000000000004
PINTA,ANASE,1.0000000000000002
PM,CAGEX,1.0
PM,CAGFO,1.0
PM,CMINE,1.0
PM,CNAFO,1.0
PM,CNALM,1.0
PM,CNASE,1.0
PQ,CAGEX,1.0000000000000002
PQ,CAGFO,1.0
PQ,CAGOT,0.9999999999999998
PQ,CMINE,1.0000000000000007
PQ,CNAFO,1.0000000000000002
PQ,CNALM,1.0000000000000004
PQ,CNAHI,0.9999999999999998
PQ,CNASE,1.0000000000000002
PVA,AAGEX,1.0
PVA,AAGFO,1.0
PVA,AAGOT,1.0
PVA,AMINE,1.0
PVA,ANAFO,1.0
PVA,ANALM,1.0
PVA,ANAHI,1.0
PVA,ANASE,1.0
PX,CAGEX,1.0
PX,CAGFO,1.0
PX,CAGOT,1.0
PX,CMINE,1.0
PX,CNAFO,1.0
PX,CNALM,1.0
PX,CNAHI,1.0
PX,CNASE,1.0
PXAC,AAGEX.CAGEX,1.0
PXAC,AAGFO.CAGFO,1.0
PXAC,AAGOT.CAGOT,1.0
PXAC,AMINE.CMINE,1.0
PXAC,ANAFO.CNAFO,1.0
PXAC,ANALM.CNALM,1.0
PXAC,ANAHI.CNAHI,1.0
PXAC,ANASE.CNASE,1.0
QA,AAGEX,4.39601387558161
QA,AAGFO,1.186630004358537
QA,AAGOT,2.278990799430893
QA,AMINE,2.2854115764894125
QA,ANAFO,5.399882406911015
QA,ANALM,13.36447901808606
QA,ANAHI,4.263045250573957
QA,ANASE,19.764592274019083
QD,CAGEX,1.5454847382455208
QD,CAGFO,1.0948887088047445
QD,CAGOT,2.2523001553057753
QD,CMINE,1.394733917539987
QD,CNAFO,5.2197339669406615
QD,CNALM,11.921556287576918
QD,CNAHI,4.263045250573958
QD,CNASE,18.16785977850677
QE,CAGEX,2.850529137336089
QE,CAGFO,0.09174129555379257
QE,CAGOT,0.02669064412511771
QE,CMINE,0.890677658949425
QE,CNAFO,0.18014843997035318
QE,CNALM,1.4429227305091405
QE,CNASE,1.5967324955123132
