"Time","Material_1","Material_2","Material_3","Material_4","Material_5","Material_6","Material_7","Material_8","Material_9","Material_10"
"1","80.0","80.0","80.0","73.03268688543285","80.0","80.0","71.07553275697214","74.06841985794506","76.76921099658654","0.0"
"2","80.0","80.0","80.0","50.48407487166274","80.0","80.0","44.59143520728058","52.45758599527353","58.719512219891925","0.0"
"3","80.0","80.0","80.0","32.80725419270696","80.0","80.0","26.22707538076497","37.3427228884821","42.26152500267543","0.0"
"4","80.0","80.0","80.0","25.996847865028254","75.24680467485256","80.0","25.50973311015922","32.69299081821303","33.56565370501339","0.0"
"5","69.76749535460063","80.0","75.18799620827006","19.546302347565657","61.14168095309136","80.0","22.977807771775904","28.98990634532509","27.519125435919264","0.0"
"6","57.2670834031068","80.0","62.512910986772916","13.560298485051149","46.858728560260644","80.0","19.65236747991986","27.42514908214089","23.399068898513207","0.0"
"7","43.80694055826356","71.21123860965335","50.425058993629065","22.522939557537555","33.747617912040496","73.5765556509123","17.245112413160975","26.991550378055358","32.00857282184198","0.0"
"8","39.116779108688746","61.96569896582774","39.73500563589661","22.46643053921855","30.436259627884578","66.02232202433164","15.343851034833815","33.794555576287564","26.828786566007217","0.0"
"9","35.606612013647265","54.181276538842525","30.685022747956783","20.3949947291813","27.70029729254074","60.01814773145622","11.366431681626407","32.2698256528962","25.923762904726303","0.0"
"10","29.98635394556672","46.26630763270262","24.607152558893965","18.489935704926307","25.250019511885938","54.020252716529995","10.0","31.776355425582132","24.74302951527437","0.0"
"11","26.389255072696326","38.252246613147676","21.412665397794903","16.40686032327446","22.995861232809908","47.15076492445314","10.519027929146615","30.955981134991276","23.808833379072652","0.0"
"12","24.585203960948146","32.31649717646987","18.727824445820396","15.919771055151188","21.286792249212592","40.6424702432969","10.729990628921371","30.662881265174196","23.481785538617622","0.0"
"13","22.514783965636536","26.92428474716568","17.950485294693955","15.696416293688074","19.478498570367734","35.12457057680439","10.092259010273782","30.468616689420315","23.00495691558134","0.0"
"14","20.778072255937854","23.354468731652304","18.01070088272437","14.80550764906327","19.192133855868303","31.700914191348858","10.598005197403548","30.187863136627243","21.90133073297411","0.0"
"15","17.401799607447348","21.01160643995026","17.044343356175162","13.243099083949986","16.537860222711753","25.944996023778877","12.015760427161776","29.538642479410758","20.39040622698031","0.0"
"16","14.82201922791635","20.07514665658091","12.468239770307171","13.700050175590793","15.76921719497891","19.760888508224625","11.901327726479842","28.72756525005027","20.97994028494941","0.0"
"17","12.693955638532072","18.850272257374584","11.918658539404934","18.910371731297467","15.394179213465184","15.021238535415264","10.601178612809994","30.581460115120716","25.276378359793032","0.0"
"18","13.359714584751314","16.795770718203507","12.017315112258323","9.90814606547066","16.298176445788172","13.40479035975999","10.997541044776924","34.20788985592703","16.49151026529774","0.0"
