"Time","Material_1","Material_2","Material_3","Material_4","Material_5","Material_6","Material_7","Material_8","Material_9","Material_10"
"1","80.0","80.0","80.0","73.52697886293964","80.0","80.0","71.64602457246151","74.56074015189817","77.18781951570863","0.0"
"2","80.0","80.0","80.0","51.10476884339532","80.0","80.0","45.24852888560483","52.92900221673568","59.53852500567084","0.0"
"3","80.0","80.0","80.0","32.78330785626886","80.0","80.0","26.18937147226678","37.81532087541218","42.95834209248398","0.0"
"4","80.0","80.0","80.0","26.00457503041775","77.56898683570274","80.0","26.35473034972273","32.53930135211202","34.02875358223508","0.0"
"5","72.86557710922199","80.0","78.04442651701918","19.410922185253554","66.03100436200401","80.0","23.36358358287724","29.03388663270537","27.839839419613572","0.0"
"6","61.67661350342217","80.0","68.29051652438689","10.51243301198392","51.985747463983145","80.0","20.744089246770773","27.33611138238287","26.221551038448872","0.0"
"7","48.78216338832842","72.96950113523424","55.936444448669455","21.602579260487175","34.806593028239405","80.0","21.375881420093133","30.610682026801328","33.94896817087746","0.0"
"8","41.0227329799481","64.89108050602337","40.79890989108204","27.039661864007435","31.807329590238428","73.48460536570619","16.89133488837119","34.17397187390621","30.254292153091008","0.0"
"9","38.68530262530231","55.96664839689629","32.29239456103656","21.495611259550085","30.670596685226467","67.27788551252883","13.999097376167562","31.61629066858213","27.925932374461897","0.0"
"10","32.58600063362254","48.04553923740316","27.55593061788645","18.63583066871121","26.95866168868784","60.94654217012782","12.533622155698216","31.37337916529997","26.242044603359343","0.0"
"11","28.018723658140576","40.31778325287539","23.568436534890846","16.619645080082503","25.01010914807612","53.90459433783262","12.307656280083211","30.508938182951212","25.338816866374327","0.0"
"12","25.462645989691303","33.72677749324648","20.3213992854662","15.610872827366606","22.67729802929752","46.72845236368426","12.081707165803767","30.011041193220922","24.34624667164988","0.0"
"13","22.950811026348934","27.9548958724945","19.2435162324249","15.093047272474097","20.377229554927403","39.58823676599656","11.676127496934189","29.633550724018175","23.756438202369463","0.0"
"14","20.58798852194187","23.74950472872206","18.688293310986623","14.218795378925986","19.24434626436367","34.05777984883443","11.406047286574491","29.164501173944103","22.773958108166447","0.0"
"15","17.280659973361043","21.31463198654731","16.85292229151562","13.34126736494322","17.56752756817883","27.829606789475502","11.878974902349572","28.59912778722081","21.78240727218516","0.0"
"16","15.119025773123763","19.916958365219585","14.63403417679618","13.654716610618754","16.942214022440076","20.891443247018582","11.748097627587459","28.244820629240806","22.562930274249354","0.0"
"17","13.486228903818462","18.75957088477076","14.03498436351586","16.034383462047096","16.721401888736985","15.97396619290754","10.0","29.68342150448197","24.190154600279","0.0"
"18","13.877810327381114","16.939933695530545","14.120415831988645","10.015577787442966","17.68603937795832","12.668431786036713","10.365913149004736","30.498516342355487","17.74770532769598","0.0"
"19","13.943104512809331","15.290378536083566","13.710396243427812","4.586822698024289","15.669550103807588","9.683530402491682","10.643118782893207","22.683008154215393","14.426610972795768","0.0"
"20","12.68312645004592","14.02514850507152","9.712087663829898","2.6161952834720577","14.570655921518778","7.376388041820723","10.514895968241891","21.59585278816008","13.25099716734875","0.0"
"21","11.31254039860112","13.149106954637906","8.436738750802327","0.8532041395176393","12.957420189940862","6.223258238123068","10.831574475504055","20.76324506401941","12.319389019069845","0.0"
