"Debit Balance","Debit Total","Account Title","Credit Total","Credit Balance"
"1245000.0","3250000.0","Cash","2005000.0",""
"950000.0","1500000.0","Deposits","550000.0",""
"1200000.0","1200000.0","Machinery","0.0",""
"","0.0","CapitalStock","3000000.0","3000000.0"
"","0.0","LoansPayable","1000000.0","1000000.0"
"","0.0","ReserveDepositPayable","700000.0","700000.0"
"300000.0","300000.0","WageExpenditure","0.0",""
"5000.0","5000.0","InterestExpense","0.0",""
"1500000.0","1500000.0","Purchases","0.0",""
"","0.0","Sales","500000.0","500000.0"
"5200000.0","7755000.0","","7755000.0","5200000.0"
