"","1","2","3","4","5","6","7","8","9","10"
"1","8.112685970028574e-2","3.0179137143288612e-2","4.672947391781674e-2","4.461078529799488e-2","2.2810917621790713e-2","1.7900071522808085e-2","1.0030440861289881e-2","5.347352731391976e-2","6.34786272791543e-2","4.3955129150483725e-2"
"2","2.3798830948753652e-2","4.509905965293948e-2","5.4859482700919775e-2","5.9481003942139676e-2","6.577735795143934e-2","5.974672729635221e-2","6.16011084065422e-2","8.763332892291004e-2","5.985473480318192e-2","4.6504305764096254e-2"
"3","1.5126113181948155e-2","3.945820647994169e-2","4.096884355370301e-2","5.7459618665374135e-2","4.631727465235272e-2","3.4361262782560964e-2","4.843333618189146e-2","2.7136112176606476e-2","1.8420544570580785e-2","4.14731621909189e-2"
"4","7.143856678732217e-2","6.273116509526096e-2","5.186995288933052e-2","2.244612038518859e-2","1.2205418197702976e-2","4.815938560816102e-2","1.2426214055046124e-2","6.303224428949047e-2","4.884918626715857e-2","1.935142835649781e-2"
"5","4.085995368039366e-2","2.141751623941413e-2","6.415893974086996e-2","2.6427836698743525e-2","2.7736704365531287e-2","3.162422879479614e-2","5.499974503103097e-2","5.053170260713631e-2","1.814104343529073e-2","1.483748636486772e-2"
"6","2.8341025705931534e-2","5.381386975449808e-2","2.0369776438636317e-2","1.5484170338806108e-2","1.0095774322898897e-2","1.2563271891798533e-2","5.507335734989016e-2","1.5347462726072267e-2","2.401037080792116e-2","6.0709317805993694e-2"
"7","2.5067230676608418e-2","2.7623554831826276e-2","1.2670357386613762e-2","6.481868659610873e-2","6.73757551833099e-2","5.770041842049631e-2","6.708944544186636e-2","1.5469404955421075e-2","2.4163433095470935e-2","5.369922087366829e-2"
"8","6.67117995924748e-2","4.688408226884723e-2","4.136417919624491e-2","1.840805085379825e-2","3.129642751532615e-2","2.6029056836867976e-2","5.320791587788626e-2","2.823709576494985e-2","5.7367797186144e-2","4.33968101995326e-2"
"9","3.784911628175591e-2","8.070741149040104e-3","7.510344403120377e-3","2.2653755103980457e-2","6.546807745701443e-2","4.44857551377412e-2","2.7973095730467974e-2","4.8090876080540426e-2","6.1046645216426415e-2","5.975673389730083e-2"
"10","9.680503444525973e-3","6.472266738494341e-2","5.949864977274464e-2","6.820997211786574e-2","5.091629273263362e-2","6.742982170841758e-2","9.165341064088714e-3","1.1048245162953359e-2","2.4667617338671153e-2","1.631640539664019e-2"
