"Day","Debit","Amount","Credit","Amount"
"2024-01-10","Cash","3000000.0","Deposits","3000000.0"
"2024-01-15","CurrentDeposits","1200000.0","Cash","1200000.0"
"2024-01-20","Machinery","200000.0","Cash","200000.0"
"2024-01-25","Purchases","400000.0","Cash","200000.0"
"","","","ReserveDepositPayable","200000.0"
"2024-02-01","Cash","300000.0","LoansPayable","300000.0"
"2024-02-10","Cash","100000.0","Sales","500000.0"
"","AccountsReceivable","400000.0","",""
"2024-02-15","WageExpenditure","80000.0","Cash","80000.0"
"2024-02-20","ReserveDepositPayable","150000.0","Cash","150000.0"
"2024-04-01","Deposits","8000000.0","CapitalStock","8000000.0"
